geography,year,topic,category,sub_category,value_description,value
Parkville,2016,Households: Income and housing,Housing tenure,Owned outright,Count of occupied private dwellings,369.0
Parkville,2016,Households: Income and housing,Housing tenure,Other tenure type,Count of occupied private dwellings,19.0
South Yarra (inc. Melbourne Remainder),2016,Households: Income and housing,Housing tenure,Owned outright,Count of occupied private dwellings,744.0
South Yarra (inc. Melbourne Remainder),2016,Households: Income and housing,Housing tenure,Owned with a mortgage,Count of occupied private dwellings,428.0
South Yarra (inc. Melbourne Remainder),2016,Households: Income and housing,Housing tenure,Other tenure type,Count of occupied private dwellings,14.0
Southbank,2016,Households: Income and housing,Housing tenure,Owned with a mortgage,Count of occupied private dwellings,1612.0
West Melbourne (Residential),2016,Households: Income and housing,Housing tenure,Rented,Count of occupied private dwellings,1299.0
Carlton,2011,Households: Income and housing,Housing tenure and landlord type,Owned outright,Count of occupied private dwellings,720.0
Carlton,2011,Households: Income and housing,Housing tenure and landlord type,Owned with a mortgage,Count of occupied private dwellings,583.0
Carlton,2011,Households: Income and housing,Housing tenure and landlord type,Rented - Real estate agent,Count of occupied private dwellings,2805.0
Carlton,2011,Households: Income and housing,Housing tenure and landlord type,Rented - Person not in same household,Count of occupied private dwellings,747.0
Carlton,2011,Households: Income and housing,Housing tenure and landlord type,Rented - Other landlord type,Count of occupied private dwellings,174.0
Carlton,2011,Households: Income and housing,Housing tenure and landlord type,Rented - Landlord type not stated,Count of occupied private dwellings,60.0
Carlton,2011,Households: Income and housing,Housing tenure and landlord type,Other tenure type,Count of occupied private dwellings,28.0
Docklands,2011,Households: Income and housing,Housing tenure and landlord type,Rented - Housing co-operative/community/church group,Count of occupied private dwellings,9.0
Docklands,2011,Households: Income and housing,Housing tenure and landlord type,Rented - Landlord type not stated,Count of occupied private dwellings,16.0
Docklands,2011,Households: Income and housing,Housing tenure and landlord type,Tenure type not stated,Count of occupied private dwellings,42.0
East Melbourne,2011,Households: Income and housing,Housing tenure and landlord type,Owned outright,Count of occupied private dwellings,505.0
East Melbourne,2011,Households: Income and housing,Housing tenure and landlord type,Rented - Other landlord type,Count of occupied private dwellings,3.0
Greater Melbourne,2011,Households: Income and housing,Housing tenure and landlord type,Other tenure type,Count of occupied private dwellings,10522.0
Kensington,2011,Households: Income and housing,Housing tenure and landlord type,Owned outright,Count of occupied private dwellings,638.0
Kensington,2011,Households: Income and housing,Housing tenure and landlord type,Rented - State or territory housing authority,Count of occupied private dwellings,480.0
Kensington,2011,Households: Income and housing,Housing tenure and landlord type,Rented - Other landlord type,Count of occupied private dwellings,17.0
Kensington,2011,Households: Income and housing,Housing tenure and landlord type,Rented - Landlord type not stated,Count of occupied private dwellings,13.0
Kensington,2011,Households: Income and housing,Housing tenure and landlord type,Tenure type not stated,Count of occupied private dwellings,96.0
Melbourne (CBD),2011,Households: Income and housing,Housing tenure and landlord type,Rented - Person not in same household,Count of occupied private dwellings,877.0
Melbourne (CBD),2011,Households: Income and housing,Housing tenure and landlord type,Rented - Housing co-operative/community/church group,Count of occupied private dwellings,64.0
North Melbourne,2011,Households: Income and housing,Housing tenure and landlord type,Owned outright,Count of occupied private dwellings,668.0
North Melbourne,2011,Households: Income and housing,Housing tenure and landlord type,Rented - Real estate agent,Count of occupied private dwellings,1707.0
North Melbourne,2011,Households: Income and housing,Housing tenure and landlord type,Rented - State or territory housing authority,Count of occupied private dwellings,822.0
North Melbourne,2011,Households: Income and housing,Housing tenure and landlord type,Other tenure type,Count of occupied private dwellings,33.0
North Melbourne,2011,Households: Income and housing,Housing tenure and landlord type,Tenure type not stated,Count of occupied private dwellings,102.0
Parkville,2011,Households: Income and housing,Housing tenure and landlord type,Owned with a mortgage,Count of occupied private dwellings,290.0
Parkville,2011,Households: Income and housing,Housing tenure and landlord type,Rented - Housing co-operative/community/church group,Count of occupied private dwellings,49.0
Parkville,2011,Households: Income and housing,Housing tenure and landlord type,Other tenure type,Count of occupied private dwellings,12.0
South Yarra (inc. Melbourne Remainder),2011,Households: Income and housing,Housing tenure and landlord type,Rented - Other landlord type,Count of occupied private dwellings,32.0
South Yarra (inc. Melbourne Remainder),2011,Households: Income and housing,Housing tenure and landlord type,Other tenure type,Count of occupied private dwellings,6.0
Southbank,2011,Households: Income and housing,Housing tenure and landlord type,Owned outright,Count of occupied private dwellings,838.0
Southbank,2011,Households: Income and housing,Housing tenure and landlord type,Owned with a mortgage,Count of occupied private dwellings,1182.0
Southbank,2011,Households: Income and housing,Housing tenure and landlord type,Rented - Real estate agent,Count of occupied private dwellings,2452.0
Southbank,2011,Households: Income and housing,Housing tenure and landlord type,Rented - Other landlord type,Count of occupied private dwellings,34.0
Southbank,2011,Households: Income and housing,Housing tenure and landlord type,Other tenure type,Count of occupied private dwellings,27.0
Carlton,2016,Households: Income and housing,Housing tenure and landlord type,Rented - State or territory housing authority,Count of occupied private dwellings,940.0
Carlton,2016,Households: Income and housing,Housing tenure and landlord type,Rented - Person not in same household,Count of occupied private dwellings,944.0
Carlton,2016,Households: Income and housing,Housing tenure and landlord type,Rented - Housing co-operative/community/church group,Count of occupied private dwellings,290.0
Docklands,2016,Households: Income and housing,Housing tenure and landlord type,Rented - Person not in same household,Count of occupied private dwellings,302.0
Docklands,2016,Households: Income and housing,Housing tenure and landlord type,Rented - Other landlord type,Count of occupied private dwellings,30.0
East Melbourne,2016,Households: Income and housing,Housing tenure and landlord type,Owned outright,Count of occupied private dwellings,528.0
East Melbourne,2016,Households: Income and housing,Housing tenure and landlord type,Owned with a mortgage,Count of occupied private dwellings,368.0
East Melbourne,2016,Households: Income and housing,Housing tenure and landlord type,Other tenure type,Count of occupied private dwellings,12.0
Greater Melbourne,2016,Households: Income and housing,Housing tenure and landlord type,Owned with a mortgage,Count of occupied private dwellings,567574.0
Greater Melbourne,2016,Households: Income and housing,Housing tenure and landlord type,Rented - Real estate agent,Count of occupied private dwellings,334535.0
Greater Melbourne,2016,Households: Income and housing,Housing tenure and landlord type,Rented - Housing co-operative/community/church group,Count of occupied private dwellings,6636.0
Greater Melbourne,2016,Households: Income and housing,Housing tenure and landlord type,Rented - Landlord type not stated,Count of occupied private dwellings,6545.0
Greater Melbourne,2016,Households: Income and housing,Housing tenure and landlord type,Other tenure type,Count of occupied private dwellings,12777.0
Kensington,2016,Households: Income and housing,Housing tenure and landlord type,Owned with a mortgage,Count of occupied private dwellings,1339.0
Kensington,2016,Households: Income and housing,Housing tenure and landlord type,Rented - State or territory housing authority,Count of occupied private dwellings,482.0
Kensington,2016,Households: Income and housing,Housing tenure and landlord type,Rented - Housing co-operative/community/church group,Count of occupied private dwellings,42.0
Kensington,2016,Households: Income and housing,Housing tenure and landlord type,Rented - Landlord type not stated,Count of occupied private dwellings,9.0
Kensington,2016,Households: Income and housing,Housing tenure and landlord type,Other tenure type,Count of occupied private dwellings,12.0
Kensington,2016,Households: Income and housing,Housing tenure and landlord type,Tenure type not stated,Count of occupied private dwellings,94.0
Melbourne (CBD),2016,Households: Income and housing,Housing tenure and landlord type,Rented - Person not in same household,Count of occupied private dwellings,1797.0
Melbourne (CBD),2016,Households: Income and housing,Housing tenure and landlord type,Rented - Landlord type not stated,Count of occupied private dwellings,88.0
City of Melbourne,2016,Households: Income and housing,Housing tenure and landlord type,Rented - Person not in same household,Count of occupied private dwellings,5442.0
City of Melbourne,2016,Households: Income and housing,Housing tenure and landlord type,Other tenure type,Count of occupied private dwellings,441.0
North Melbourne,2016,Households: Income and housing,Housing tenure and landlord type,Owned outright,Count of occupied private dwellings,759.0
North Melbourne,2016,Households: Income and housing,Housing tenure and landlord type,Rented - State or territory housing authority,Count of occupied private dwellings,835.0
North Melbourne,2016,Households: Income and housing,Housing tenure and landlord type,Other tenure type,Count of occupied private dwellings,30.0
Parkville,2016,Households: Income and housing,Housing tenure and landlord type,Rented - Person not in same household,Count of occupied private dwellings,168.0
Parkville,2016,Households: Income and housing,Housing tenure and landlord type,Rented - Housing co-operative/community/church group,Count of occupied private dwellings,57.0
Parkville,2016,Households: Income and housing,Housing tenure and landlord type,Rented - Other landlord type,Count of occupied private dwellings,8.0
Parkville,2016,Households: Income and housing,Housing tenure and landlord type,Tenure type not stated,Count of occupied private dwellings,55.0
South Yarra (inc. Melbourne Remainder),2016,Households: Income and housing,Housing tenure and landlord type,Owned outright,Count of occupied private dwellings,744.0
South Yarra (inc. Melbourne Remainder),2016,Households: Income and housing,Housing tenure and landlord type,Rented - Person not in same household,Count of occupied private dwellings,241.0
South Yarra (inc. Melbourne Remainder),2016,Households: Income and housing,Housing tenure and landlord type,Rented - Housing co-operative/community/church group,Count of occupied private dwellings,0.0
Southbank,2016,Households: Income and housing,Housing tenure and landlord type,Rented - Person not in same household,Count of occupied private dwellings,687.0
Southbank,2016,Households: Income and housing,Housing tenure and landlord type,Rented - Landlord type not stated,Count of occupied private dwellings,34.0
Southbank,2016,Households: Income and housing,Housing tenure and landlord type,Other tenure type,Count of occupied private dwellings,20.0
West Melbourne (Residential),2016,Households: Income and housing,Housing tenure and landlord type,Owned with a mortgage,Count of occupied private dwellings,463.0
West Melbourne (Residential),2016,Households: Income and housing,Housing tenure and landlord type,Rented - State or territory housing authority,Count of occupied private dwellings,50.0
Kensington,2011,Households: Dwellings,Number of vehicles,Two motor vehicles,Count of occupied private dwellings,1090.0
West Melbourne (Residential),2016,Households: Income and housing,Housing tenure and landlord type,Rented - Landlord type not stated,Count of occupied private dwellings,9.0
Carlton,2011,Households: Dwellings,Number of vehicles,No motor vehicles,Count of occupied private dwellings,3684.0
Carlton,2011,Households: Dwellings,Number of vehicles,One motor vehicle,Count of occupied private dwellings,1878.0
Carlton,2011,Households: Dwellings,Number of vehicles,Four or more motor vehicles,Count of occupied private dwellings,17.0
East Melbourne,2011,Households: Dwellings,Number of vehicles,Three motor vehicles,Count of occupied private dwellings,75.0
East Melbourne,2011,Households: Dwellings,Number of vehicles,Four or more motor vehicles,Count of occupied private dwellings,27.0
Greater Melbourne,2011,Households: Dwellings,Number of vehicles,Two motor vehicles,Count of occupied private dwellings,528222.0
Greater Melbourne,2011,Households: Dwellings,Number of vehicles,Number of motor vehicles not stated,Count of occupied private dwellings,41633.0
Kensington,2011,Households: Dwellings,Number of vehicles,No motor vehicles,Count of occupied private dwellings,737.0
Melbourne (CBD),2011,Households: Dwellings,Number of vehicles,One motor vehicle,Count of occupied private dwellings,2358.0
Melbourne (CBD),2011,Households: Dwellings,Number of vehicles,Three motor vehicles,Count of occupied private dwellings,23.0
Melbourne (CBD),2011,Households: Dwellings,Number of vehicles,Four or more motor vehicles,Count of occupied private dwellings,6.0
City of Melbourne,2011,Households: Dwellings,Number of vehicles,Two motor vehicles,Count of occupied private dwellings,5472.0
City of Melbourne,2011,Households: Dwellings,Number of vehicles,Three motor vehicles,Count of occupied private dwellings,818.0
City of Melbourne,2011,Households: Dwellings,Number of vehicles,Number of motor vehicles not stated,Count of occupied private dwellings,1072.0
North Melbourne,2011,Households: Dwellings,Number of vehicles,No motor vehicles,Count of occupied private dwellings,1569.0
North Melbourne,2011,Households: Dwellings,Number of vehicles,Four or more motor vehicles,Count of occupied private dwellings,31.0
Parkville,2011,Households: Dwellings,Number of vehicles,One motor vehicle,Count of occupied private dwellings,704.0
Parkville,2011,Households: Dwellings,Number of vehicles,Two motor vehicles,Count of occupied private dwellings,366.0
Parkville,2011,Households: Dwellings,Number of vehicles,Number of motor vehicles not stated,Count of occupied private dwellings,52.0
West Melbourne (Residential),2011,Households: Dwellings,Number of vehicles,One motor vehicle,Count of occupied private dwellings,721.0
West Melbourne (Residential),2011,Households: Dwellings,Number of vehicles,Number of motor vehicles not stated,Count of occupied private dwellings,37.0
Carlton,2016,Households: Dwellings,Number of vehicles,No motor vehicles,Count of occupied private dwellings,5023.0
Carlton,2016,Households: Dwellings,Number of vehicles,One motor vehicle,Count of occupied private dwellings,2160.0
Docklands,2016,Households: Dwellings,Number of vehicles,Two motor vehicles,Count of occupied private dwellings,594.0
Docklands,2016,Households: Dwellings,Number of vehicles,Three motor vehicles,Count of occupied private dwellings,69.0
Docklands,2016,Households: Dwellings,Number of vehicles,Number of motor vehicles not stated,Count of occupied private dwellings,139.0
East Melbourne,2016,Households: Dwellings,Number of vehicles,No motor vehicles,Count of occupied private dwellings,371.0
East Melbourne,2016,Households: Dwellings,Number of vehicles,One motor vehicle,Count of occupied private dwellings,1063.0
Greater Melbourne,2016,Households: Dwellings,Number of vehicles,One motor vehicle,Count of occupied private dwellings,546747.0
Greater Melbourne,2016,Households: Dwellings,Number of vehicles,Number of motor vehicles not stated,Count of occupied private dwellings,50187.0
Kensington,2016,Households: Dwellings,Number of vehicles,No motor vehicles,Count of occupied private dwellings,782.0
Kensington,2016,Households: Dwellings,Number of vehicles,One motor vehicle,Count of occupied private dwellings,2252.0
Kensington,2016,Households: Dwellings,Number of vehicles,Three motor vehicles,Count of occupied private dwellings,168.0
Kensington,2016,Households: Dwellings,Number of vehicles,Four or more motor vehicles,Count of occupied private dwellings,26.0
Kensington,2016,Households: Dwellings,Number of vehicles,Number of motor vehicles not stated,Count of occupied private dwellings,130.0
Melbourne (CBD),2016,Households: Dwellings,Number of vehicles,Three motor vehicles,Count of occupied private dwellings,25.0
City of Melbourne,2016,Households: Dwellings,Number of vehicles,Number of motor vehicles not stated,Count of occupied private dwellings,2124.0
North Melbourne,2016,Households: Dwellings,Number of vehicles,One motor vehicle,Count of occupied private dwellings,2518.0
North Melbourne,2016,Households: Dwellings,Number of vehicles,Two motor vehicles,Count of occupied private dwellings,805.0
Parkville,2016,Households: Dwellings,Number of vehicles,One motor vehicle,Count of occupied private dwellings,992.0
Parkville,2016,Households: Dwellings,Number of vehicles,Four or more motor vehicles,Count of occupied private dwellings,19.0
South Yarra (inc. Melbourne Remainder),2016,Households: Dwellings,Number of vehicles,Two motor vehicles,Count of occupied private dwellings,598.0
South Yarra (inc. Melbourne Remainder),2016,Households: Dwellings,Number of vehicles,Three motor vehicles,Count of occupied private dwellings,114.0
South Yarra (inc. Melbourne Remainder),2016,Households: Dwellings,Number of vehicles,Number of motor vehicles not stated,Count of occupied private dwellings,96.0
West Melbourne (Residential),2016,Households: Dwellings,Number of vehicles,No motor vehicles,Count of occupied private dwellings,691.0
West Melbourne (Residential),2016,Households: Dwellings,Number of vehicles,One motor vehicle,Count of occupied private dwellings,976.0
West Melbourne (Residential),2016,Households: Dwellings,Number of vehicles,Three motor vehicles,Count of occupied private dwellings,43.0
West Melbourne (Residential),2016,Households: Dwellings,Number of vehicles,Four or more motor vehicles,Count of occupied private dwellings,3.0
Greater Melbourne,2016,Households: Income and housing,Housing rental weekly payments - overview,$150 - $199,Count of occupied private dwellings being rented,16310.0
Greater Melbourne,2016,Households: Income and housing,Housing rental weekly payments - overview,$275 - $349,Count of occupied private dwellings being rented,116345.0
Greater Melbourne,2016,Households: Income and housing,Housing rental weekly payments - overview,$450 - $549,Count of occupied private dwellings being rented,55159.0
Kensington,2016,Households: Income and housing,Housing rental weekly payments - overview,$225 - $274,Count of occupied private dwellings being rented,65.0
Kensington,2016,Households: Income and housing,Housing rental weekly payments - overview,$275 - $349,Count of occupied private dwellings being rented,239.0
Kensington,2016,Households: Income and housing,Housing rental weekly payments - overview,$350 - $449,Count of occupied private dwellings being rented,662.0
Kensington,2016,Households: Income and housing,Housing rental weekly payments - overview,$450 - $549,Count of occupied private dwellings being rented,444.0
Melbourne (CBD),2016,Households: Income and housing,Housing rental weekly payments - overview,$75 - $99,Count of occupied private dwellings being rented,0.0
Melbourne (CBD),2016,Households: Income and housing,Housing rental weekly payments - overview,$150 - $199,Count of occupied private dwellings being rented,190.0
Melbourne (CBD),2016,Households: Income and housing,Housing rental weekly payments - overview,$200 - $224,Count of occupied private dwellings being rented,101.0
City of Melbourne,2016,Households: Income and housing,Housing rental weekly payments - overview,$0 - $74,Count of occupied private dwellings being rented,1061.0
City of Melbourne,2016,Households: Income and housing,Housing rental weekly payments - overview,$225 - $274,Count of occupied private dwellings being rented,1535.0
City of Melbourne,2016,Households: Income and housing,Housing rental weekly payments - overview,$275 - $349,Count of occupied private dwellings being rented,3986.0
City of Melbourne,2016,Households: Income and housing,Housing rental weekly payments - overview,$350 - $449,Count of occupied private dwellings being rented,8950.0
North Melbourne,2016,Households: Income and housing,Housing rental weekly payments - overview,$0 - $74,Count of occupied private dwellings being rented,126.0
North Melbourne,2016,Households: Income and housing,Housing rental weekly payments - overview,$75 - $99,Count of occupied private dwellings being rented,49.0
North Melbourne,2016,Households: Income and housing,Housing rental weekly payments - overview,$150 - $199,Count of occupied private dwellings being rented,180.0
North Melbourne,2016,Households: Income and housing,Housing rental weekly payments - overview,$650 and over,Count of occupied private dwellings being rented,348.0
North Melbourne,2016,Households: Income and housing,Housing rental weekly payments - overview,Rent not stated,Count of occupied private dwellings being rented,116.0
Parkville,2016,Households: Income and housing,Housing rental weekly payments - overview,$0 - $74,Count of occupied private dwellings being rented,29.0
Parkville,2016,Households: Income and housing,Housing rental weekly payments - overview,$100 - $149,Count of occupied private dwellings being rented,15.0
Parkville,2016,Households: Income and housing,Housing rental weekly payments - overview,$150 - $199,Count of occupied private dwellings being rented,19.0
Parkville,2016,Households: Income and housing,Housing rental weekly payments - overview,$200 - $224,Count of occupied private dwellings being rented,23.0
Parkville,2016,Households: Income and housing,Housing rental weekly payments - overview,$450 - $549,Count of occupied private dwellings being rented,198.0
Parkville,2016,Households: Income and housing,Housing rental weekly payments - overview,$550 - $649,Count of occupied private dwellings being rented,70.0
South Yarra (inc. Melbourne Remainder),2016,Households: Income and housing,Housing rental weekly payments - overview,$100 - $149,Count of occupied private dwellings being rented,13.0
South Yarra (inc. Melbourne Remainder),2016,Households: Income and housing,Housing rental weekly payments - overview,$150 - $199,Count of occupied private dwellings being rented,9.0
South Yarra (inc. Melbourne Remainder),2016,Households: Income and housing,Housing rental weekly payments - overview,$275 - $349,Count of occupied private dwellings being rented,249.0
South Yarra (inc. Melbourne Remainder),2016,Households: Income and housing,Housing rental weekly payments - overview,$650 and over,Count of occupied private dwellings being rented,199.0
South Yarra (inc. Melbourne Remainder),2016,Households: Income and housing,Housing rental weekly payments - overview,Rent not stated,Count of occupied private dwellings being rented,24.0
Southbank,2016,Households: Income and housing,Housing rental weekly payments - overview,$100 - $149,Count of occupied private dwellings being rented,21.0
Southbank,2016,Households: Income and housing,Housing rental weekly payments - overview,$150 - $199,Count of occupied private dwellings being rented,22.0
Southbank,2016,Households: Income and housing,Housing rental weekly payments - overview,$200 - $224,Count of occupied private dwellings being rented,27.0
Southbank,2016,Households: Income and housing,Housing rental weekly payments - overview,$275 - $349,Count of occupied private dwellings being rented,176.0
Southbank,2016,Households: Income and housing,Housing rental weekly payments - overview,$450 - $549,Count of occupied private dwellings being rented,1573.0
Southbank,2016,Households: Income and housing,Housing rental weekly payments - overview,$550 - $649,Count of occupied private dwellings being rented,1090.0
West Melbourne (Residential),2016,Households: Income and housing,Housing rental weekly payments - overview,$75 - $99,Count of occupied private dwellings being rented,3.0
West Melbourne (Residential),2016,Households: Income and housing,Housing rental weekly payments - overview,$225 - $274,Count of occupied private dwellings being rented,28.0
West Melbourne (Residential),2016,Households: Income and housing,Housing rental weekly payments - overview,$350 - $449,Count of occupied private dwellings being rented,392.0
Carlton,2016,Households: Income and housing,Housing rental weekly payments - detailed,$100 - $149,Count of occupied private dwellings being rented,298.0
Carlton,2016,Households: Income and housing,Housing rental weekly payments - detailed,$225 - $274,Count of occupied private dwellings being rented,614.0
Carlton,2016,Households: Income and housing,Housing rental weekly payments - detailed,$450 - $549,Count of occupied private dwellings being rented,1135.0
Carlton,2016,Households: Income and housing,Housing rental weekly payments - detailed,Rent not stated,Count of occupied private dwellings being rented,178.0
Docklands,2016,Households: Income and housing,Housing rental weekly payments - detailed,$0 - $74,Count of occupied private dwellings being rented,72.0
Docklands,2016,Households: Income and housing,Housing rental weekly payments - detailed,$150 - $199,Count of occupied private dwellings being rented,30.0
Docklands,2016,Households: Income and housing,Housing rental weekly payments - detailed,$350 - $449,Count of occupied private dwellings being rented,600.0
Docklands,2016,Households: Income and housing,Housing rental weekly payments - detailed,$550 - $649,Count of occupied private dwellings being rented,483.0
Docklands,2016,Households: Income and housing,Housing rental weekly payments - detailed,$750 - $849,Count of occupied private dwellings being rented,152.0
Docklands,2016,Households: Income and housing,Housing rental weekly payments - detailed,$950 and over,Count of occupied private dwellings being rented,111.0
East Melbourne,2016,Households: Income and housing,Housing rental weekly payments - detailed,$0 - $74,Count of occupied private dwellings being rented,47.0
East Melbourne,2016,Households: Income and housing,Housing rental weekly payments - detailed,$275 - $349,Count of occupied private dwellings being rented,133.0
East Melbourne,2016,Households: Income and housing,Housing rental weekly payments - detailed,$450 - $549,Count of occupied private dwellings being rented,247.0
East Melbourne,2016,Households: Income and housing,Housing rental weekly payments - detailed,$650 - $749,Count of occupied private dwellings being rented,62.0
Greater Melbourne,2016,Households: Income and housing,Housing rental weekly payments - detailed,$100 - $149,Count of occupied private dwellings being rented,19606.0
Greater Melbourne,2016,Households: Income and housing,Housing rental weekly payments - detailed,$150 - $199,Count of occupied private dwellings being rented,16310.0
Greater Melbourne,2016,Households: Income and housing,Housing rental weekly payments - detailed,$225 - $274,Count of occupied private dwellings being rented,36758.0
Greater Melbourne,2016,Households: Income and housing,Housing rental weekly payments - detailed,$275 - $349,Count of occupied private dwellings being rented,116345.0
Greater Melbourne,2016,Households: Income and housing,Housing rental weekly payments - detailed,$350 - $449,Count of occupied private dwellings being rented,128830.0
Greater Melbourne,2016,Households: Income and housing,Housing rental weekly payments - detailed,$450 - $549,Count of occupied private dwellings being rented,55159.0
Greater Melbourne,2016,Households: Income and housing,Housing rental weekly payments - detailed,Rent not stated,Count of occupied private dwellings being rented,15209.0
Kensington,2016,Households: Income and housing,Housing rental weekly payments - detailed,$100 - $149,Count of occupied private dwellings being rented,252.0
Kensington,2016,Households: Income and housing,Housing rental weekly payments - detailed,$225 - $274,Count of occupied private dwellings being rented,65.0
Kensington,2016,Households: Income and housing,Housing rental weekly payments - detailed,$350 - $449,Count of occupied private dwellings being rented,662.0
Kensington,2016,Households: Income and housing,Housing rental weekly payments - detailed,$450 - $549,Count of occupied private dwellings being rented,444.0
Kensington,2016,Households: Income and housing,Housing rental weekly payments - detailed,$550 - $649,Count of occupied private dwellings being rented,209.0
Melbourne (CBD),2016,Households: Income and housing,Housing rental weekly payments - detailed,$0 - $74,Count of occupied private dwellings being rented,379.0
Melbourne (CBD),2016,Households: Income and housing,Housing rental weekly payments - detailed,$75 - $99,Count of occupied private dwellings being rented,0.0
Melbourne (CBD),2016,Households: Income and housing,Housing rental weekly payments - detailed,$100 - $149,Count of occupied private dwellings being rented,93.0
Melbourne (CBD),2016,Households: Income and housing,Housing rental weekly payments - detailed,$750 - $849,Count of occupied private dwellings being rented,262.0
City of Melbourne,2016,Households: Income and housing,Housing rental weekly payments - detailed,$75 - $99,Count of occupied private dwellings being rented,159.0
City of Melbourne,2016,Households: Income and housing,Housing rental weekly payments - detailed,$100 - $149,Count of occupied private dwellings being rented,1108.0
City of Melbourne,2016,Households: Income and housing,Housing rental weekly payments - detailed,$200 - $224,Count of occupied private dwellings being rented,555.0
City of Melbourne,2016,Households: Income and housing,Housing rental weekly payments - detailed,$350 - $449,Count of occupied private dwellings being rented,8950.0
City of Melbourne,2016,Households: Income and housing,Housing rental weekly payments - detailed,$450 - $549,Count of occupied private dwellings being rented,8522.0
City of Melbourne,2016,Households: Income and housing,Housing rental weekly payments - detailed,$650 - $749,Count of occupied private dwellings being rented,2143.0
City of Melbourne,2016,Households: Income and housing,Housing rental weekly payments - detailed,$750 - $849,Count of occupied private dwellings being rented,1025.0
City of Melbourne,2016,Households: Income and housing,Housing rental weekly payments - detailed,Rent not stated,Count of occupied private dwellings being rented,1106.0
North Melbourne,2016,Households: Income and housing,Housing rental weekly payments - detailed,$200 - $224,Count of occupied private dwellings being rented,91.0
North Melbourne,2016,Households: Income and housing,Housing rental weekly payments - detailed,$950 and over,Count of occupied private dwellings being rented,44.0
Parkville,2016,Households: Income and housing,Housing rental weekly payments - detailed,$75 - $99,Count of occupied private dwellings being rented,0.0
Parkville,2016,Households: Income and housing,Housing rental weekly payments - detailed,$100 - $149,Count of occupied private dwellings being rented,15.0
Parkville,2016,Households: Income and housing,Housing rental weekly payments - detailed,$225 - $274,Count of occupied private dwellings being rented,47.0
Parkville,2016,Households: Income and housing,Housing rental weekly payments - detailed,$275 - $349,Count of occupied private dwellings being rented,255.0
Parkville,2016,Households: Income and housing,Housing rental weekly payments - detailed,$350 - $449,Count of occupied private dwellings being rented,413.0
Parkville,2016,Households: Income and housing,Housing rental weekly payments - detailed,$750 - $849,Count of occupied private dwellings being rented,33.0
Parkville,2016,Households: Income and housing,Housing rental weekly payments - detailed,$850 - $949,Count of occupied private dwellings being rented,45.0
Parkville,2016,Households: Income and housing,Housing rental weekly payments - detailed,$950 and over,Count of occupied private dwellings being rented,29.0
Parkville,2016,Households: Income and housing,Housing rental weekly payments - detailed,Rent not stated,Count of occupied private dwellings being rented,49.0
South Yarra (inc. Melbourne Remainder),2016,Households: Income and housing,Housing rental weekly payments - detailed,$75 - $99,Count of occupied private dwellings being rented,0.0
South Yarra (inc. Melbourne Remainder),2016,Households: Income and housing,Housing rental weekly payments - detailed,$150 - $199,Count of occupied private dwellings being rented,9.0
South Yarra (inc. Melbourne Remainder),2016,Households: Income and housing,Housing rental weekly payments - detailed,$350 - $449,Count of occupied private dwellings being rented,410.0
Southbank,2016,Households: Income and housing,Housing rental weekly payments - detailed,$550 - $649,Count of occupied private dwellings being rented,1090.0
East Melbourne,2011,Households: Dwellings,Dwelling type - overview,"Semi-detached, row or terrace house, townhouse etc.",Count of occupied private dwellings,478.0
Greater Melbourne,2011,Households: Dwellings,Dwelling type - overview,Other dwelling,Count of occupied private dwellings,6159.0
Greater Melbourne,2011,Households: Dwellings,Dwelling type - overview,Dwelling structure not stated,Count of occupied private dwellings,566.0
Kensington,2011,Households: Dwellings,Dwelling type - overview,Flat or apartment,Count of occupied private dwellings,1296.0
Kensington,2011,Households: Dwellings,Dwelling type - overview,Other dwelling,Count of occupied private dwellings,0.0
Melbourne (CBD),2011,Households: Dwellings,Dwelling type - overview,Separate house,Count of occupied private dwellings,6.0
Melbourne (CBD),2011,Households: Dwellings,Dwelling type - overview,Dwelling structure not stated,Count of occupied private dwellings,3.0
City of Melbourne,2011,Households: Dwellings,Dwelling type - overview,Separate house,Count of occupied private dwellings,2024.0
North Melbourne,2011,Households: Dwellings,Dwelling type - overview,Dwelling structure not stated,Count of occupied private dwellings,4.0
Parkville,2011,Households: Dwellings,Dwelling type - overview,Flat or apartment,Count of occupied private dwellings,865.0
Parkville,2011,Households: Dwellings,Dwelling type - overview,Other dwelling,Count of occupied private dwellings,0.0
South Yarra (inc. Melbourne Remainder),2011,Households: Dwellings,Dwelling type - overview,"Semi-detached, row or terrace house, townhouse etc.",Count of occupied private dwellings,345.0
West Melbourne (Residential),2011,Households: Dwellings,Dwelling type - overview,Separate house,Count of occupied private dwellings,40.0
West Melbourne (Residential),2011,Households: Dwellings,Dwelling type - overview,Flat or apartment,Count of occupied private dwellings,847.0
West Melbourne (Residential),2011,Households: Dwellings,Dwelling type - overview,Other dwelling,Count of occupied private dwellings,3.0
West Melbourne (Residential),2011,Households: Dwellings,Dwelling type - overview,Dwelling structure not stated,Count of occupied private dwellings,4.0
Southbank,2011,Residents: Ethnicity,Country of birth - detailed,Ireland,Count of persons,123.0
Southbank,2011,Residents: Ethnicity,Country of birth - detailed,Russian Federation,Count of persons,39.0
Southbank,2011,Residents: Ethnicity,Country of birth - detailed,Pakistan,Count of persons,6.0
