Age,Gender,Geography,Year,Value
Age 40-44,Female,North Melbourne,2036,2023
Age 40-44,Female,North Melbourne,2038,2009
Age 40-44,Male,North Melbourne,2021,459
Age 40-44,Male,North Melbourne,2024,615
Age 40-44,Male,North Melbourne,2026,839
Age 40-44,Male,North Melbourne,2029,1144
Age 40-44,Male,North Melbourne,2035,1789
Age 40-44,Male,North Melbourne,2040,1836
Age 45-49,Female,North Melbourne,2022,367
Age 45-49,Female,North Melbourne,2023,388
Age 45-49,Female,North Melbourne,2030,735
Age 45-49,Female,North Melbourne,2038,1517
Age 45-49,Female,North Melbourne,2041,1907
Age 45-49,Male,North Melbourne,2022,368
Age 45-49,Male,North Melbourne,2027,520
Age 45-49,Male,North Melbourne,2028,580
Age 45-49,Male,North Melbourne,2038,1482
Age 50-54,Female,North Melbourne,2022,317
Age 50-54,Female,North Melbourne,2023,324
Age 50-54,Female,North Melbourne,2024,331
Age 50-54,Female,North Melbourne,2035,819
Age 50-54,Female,North Melbourne,2039,1299
Age 50-54,Male,North Melbourne,2022,285
Age 50-54,Male,North Melbourne,2024,297
Age 50-54,Male,North Melbourne,2025,315
Age 50-54,Male,North Melbourne,2028,384
Age 50-54,Male,North Melbourne,2030,438
Age 50-54,Male,North Melbourne,2032,511
Age 50-54,Male,North Melbourne,2034,627
Age 50-54,Male,North Melbourne,2036,823
Age 50-54,Male,North Melbourne,2037,921
Age 50-54,Male,North Melbourne,2038,1035
Age 50-54,Male,North Melbourne,2040,1263
Age 55-59,Female,North Melbourne,2023,225
Age 55-59,Female,North Melbourne,2024,226
Age 55-59,Female,North Melbourne,2031,300
Age 55-59,Female,North Melbourne,2037,507
Age 55-59,Male,North Melbourne,2021,254
Age 55-59,Male,North Melbourne,2024,251
Age 55-59,Male,North Melbourne,2027,264
Age 55-59,Male,North Melbourne,2029,295
Age 55-59,Male,North Melbourne,2036,483
Age 55-59,Male,North Melbourne,2038,633
Age 60-64,Female,North Melbourne,2024,221
Age 60-64,Female,North Melbourne,2029,237
Age 60-64,Female,North Melbourne,2031,243
Age 60-64,Female,North Melbourne,2032,249
Age 60-64,Female,North Melbourne,2036,342
Age 60-64,Male,North Melbourne,2021,234
Age 60-64,Male,North Melbourne,2023,239
Age 60-64,Male,North Melbourne,2024,233
Age 60-64,Male,North Melbourne,2031,256
Age 60-64,Male,North Melbourne,2034,294
Age 60-64,Male,North Melbourne,2036,361
Age 60-64,Male,North Melbourne,2037,405
Age 65-69,Female,North Melbourne,2022,200
Age 65-69,Female,North Melbourne,2023,208
Age 65-69,Female,North Melbourne,2025,213
Age 65-69,Female,North Melbourne,2030,214
Age 65-69,Female,North Melbourne,2031,225
Age 65-69,Female,North Melbourne,2039,385
Age 65-69,Female,North Melbourne,2040,414
Age 65-69,Male,North Melbourne,2026,220
Age 65-69,Male,North Melbourne,2031,231
Age 65-69,Male,North Melbourne,2038,358
Age 65-69,Male,North Melbourne,2039,388
Age 65-69,Male,North Melbourne,2041,462
Age 70-74,Female,North Melbourne,2021,150
Age 70-74,Female,North Melbourne,2022,161
Age 70-74,Female,North Melbourne,2023,175
Age 70-74,Female,North Melbourne,2031,193
Age 70-74,Female,North Melbourne,2037,278
Age 70-74,Male,North Melbourne,2023,233
Age 70-74,Male,North Melbourne,2035,285
Age 70-74,Male,North Melbourne,2041,415
Age 75-79,Female,North Melbourne,2024,91
Age 75-79,Female,North Melbourne,2026,142
Age 75-79,Female,North Melbourne,2029,160
Age 75-79,Female,North Melbourne,2032,167
Age 75-79,Male,North Melbourne,2021,41
Age 75-79,Male,North Melbourne,2023,60
Age 75-79,Male,North Melbourne,2026,111
Age 75-79,Male,North Melbourne,2029,126
Age 75-79,Male,North Melbourne,2030,124
Age 75-79,Male,North Melbourne,2031,129
Age 75-79,Male,North Melbourne,2033,140
Age 75-79,Male,North Melbourne,2037,221
Age 75-79,Male,North Melbourne,2039,270
Age 75-79,Male,North Melbourne,2040,279
Age 75-79,Male,North Melbourne,2041,304
Age 80-84,Female,North Melbourne,2024,55
Age 80-84,Female,North Melbourne,2025,62
Age 80-84,Female,North Melbourne,2029,101
Age 80-84,Female,North Melbourne,2033,166
Age 80-84,Female,North Melbourne,2035,188
Age 80-84,Female,North Melbourne,2039,264
Age 80-84,Female,North Melbourne,2041,280
Age 80-84,Male,North Melbourne,2024,68
Age 80-84,Male,North Melbourne,2031,179
Age 80-84,Male,North Melbourne,2033,190
Age 80-84,Male,North Melbourne,2035,214
Age 80-84,Male,North Melbourne,2037,243
Age 80-84,Male,North Melbourne,2039,280
Age 80-84,Male,North Melbourne,2041,295
Age 85+,Female,North Melbourne,2021,19
Age 85+,Female,North Melbourne,2025,25
Age 85+,Female,North Melbourne,2026,27
Age 85+,Female,North Melbourne,2029,34
Age 85+,Female,North Melbourne,2034,70
Age 85+,Female,North Melbourne,2035,85
Age 85+,Female,North Melbourne,2036,101
Age 85+,Female,North Melbourne,2037,115
Age 85+,Female,North Melbourne,2039,136
Age 85+,Female,North Melbourne,2040,146
Age 85+,Male,North Melbourne,2021,13
Age 85+,Male,North Melbourne,2026,17
Age 85+,Male,North Melbourne,2030,23
Age 85+,Male,North Melbourne,2034,44
Age 85+,Male,North Melbourne,2035,56
Age 85+,Male,North Melbourne,2038,88
Age 0-4,Female,Parkville,2024,170
Age 0-4,Female,Parkville,2026,218
Age 0-4,Female,Parkville,2027,229
Age 0-4,Female,Parkville,2031,272
Age 0-4,Female,Parkville,2032,282
Age 0-4,Female,Parkville,2034,290
Age 0-4,Female,Parkville,2040,288
Age 0-4,Male,Parkville,2025,217
Age 0-4,Male,Parkville,2030,287
Age 0-4,Male,Parkville,2031,298
Age 0-4,Male,Parkville,2033,317
Age 0-4,Male,Parkville,2041,319
Age 5-9,Female,Parkville,2026,76
Age 5-9,Female,Parkville,2030,129
Age 5-9,Female,Parkville,2034,165
Age 5-9,Female,Parkville,2039,174
Age 5-9,Male,Parkville,2024,87
Age 5-9,Male,Parkville,2025,89
Age 5-9,Male,Parkville,2029,136
Age 5-9,Male,Parkville,2032,188
Age 5-9,Male,Parkville,2036,209
Age 5-9,Male,Parkville,2039,213
Age 10-14,Female,Parkville,2022,91
Age 10-14,Female,Parkville,2025,87
Age 10-14,Female,Parkville,2034,155
Age 10-14,Female,Parkville,2035,167
Age 10-14,Female,Parkville,2037,180
Age 10-14,Female,Parkville,2039,184
Age 10-14,Female,Parkville,2040,189
Age 10-14,Male,Parkville,2022,95
Age 10-14,Male,Parkville,2031,85
Age 10-14,Male,Parkville,2032,105
Age 10-14,Male,Parkville,2033,122
Age 10-14,Male,Parkville,2041,197
Age 15-19,Female,Parkville,2023,473
Age 15-19,Female,Parkville,2025,677
Age 15-19,Female,Parkville,2033,823
Age 15-19,Female,Parkville,2037,887
Age 15-19,Female,Parkville,2038,924
Age 15-19,Male,Parkville,2022,415
Age 15-19,Male,Parkville,2024,461
Age 15-19,Male,Parkville,2029,647
Age 15-19,Male,Parkville,2033,685
Age 15-19,Male,Parkville,2034,698
Age 15-19,Male,Parkville,2036,726
Age 15-19,Male,Parkville,2039,824
Age 15-19,Male,Parkville,2040,865
Age 20-24,Female,Parkville,2025,932
Age 20-24,Female,Parkville,2030,1178
Age 20-24,Female,Parkville,2034,1225
Age 20-24,Female,Parkville,2040,1231
Age 20-24,Male,Parkville,2021,911
Age 20-24,Male,Parkville,2023,848
Age 20-24,Male,Parkville,2026,844
Age 20-24,Male,Parkville,2029,1038
Age 20-24,Male,Parkville,2033,1110
Age 20-24,Male,Parkville,2035,1114
Age 20-24,Male,Parkville,2039,1121
Age 25-29,Female,Parkville,2023,656
Age 25-29,Female,Parkville,2024,654
Age 25-29,Female,Parkville,2025,684
Age 25-29,Female,Parkville,2028,746
Age 25-29,Female,Parkville,2029,753
Age 25-29,Female,Parkville,2033,797
Age 25-29,Female,Parkville,2034,807
Age 25-29,Female,Parkville,2036,803
Age 25-29,Female,Parkville,2038,772
Age 25-29,Female,Parkville,2040,734
Age 25-29,Female,Parkville,2041,719
Age 25-29,Male,Parkville,2022,610
Age 25-29,Male,Parkville,2023,605
Age 25-29,Male,Parkville,2025,614
Age 25-29,Male,Parkville,2027,671
Age 25-29,Male,Parkville,2030,692
Age 25-29,Male,Parkville,2032,706
Age 25-29,Male,Parkville,2039,688
Age 30-34,Female,Parkville,2021,399
Age 30-34,Female,Parkville,2022,425
Age 30-34,Female,Parkville,2026,548
Age 30-34,Female,Parkville,2027,537
Age 30-34,Female,Parkville,2028,542
Age 30-34,Female,Parkville,2030,536
Age 30-34,Female,Parkville,2032,581
Age 30-34,Female,Parkville,2034,564
Age 30-34,Female,Parkville,2035,549
Age 30-34,Female,Parkville,2038,553
Age 30-34,Male,Parkville,2022,420
Age 30-34,Male,Parkville,2024,474
Age 30-34,Male,Parkville,2031,544
Age 30-34,Male,Parkville,2034,552
Age 30-34,Male,Parkville,2035,536
Age 30-34,Male,Parkville,2038,511
Age 30-34,Male,Parkville,2041,500
Age 35-39,Female,Parkville,2025,384
Age 35-39,Female,Parkville,2027,431
Age 35-39,Female,Parkville,2028,466
Age 35-39,Female,Parkville,2029,504
Age 35-39,Female,Parkville,2030,531
Age 35-39,Female,Parkville,2033,534
Age 35-39,Female,Parkville,2035,514
Age 35-39,Female,Parkville,2036,557
Age 35-39,Female,Parkville,2038,535
Age 35-39,Female,Parkville,2039,524
Age 35-39,Male,Parkville,2027,404
Age 35-39,Male,Parkville,2029,466
Age 35-39,Male,Parkville,2030,499
Age 35-39,Male,Parkville,2033,523
Age 35-39,Male,Parkville,2034,520
Age 35-39,Male,Parkville,2037,533
Age 40-44,Female,Parkville,2026,199
Age 40-44,Female,Parkville,2027,217
Age 40-44,Female,Parkville,2029,252
Age 40-44,Female,Parkville,2031,284
Age 40-44,Female,Parkville,2032,303
Age 40-44,Female,Parkville,2034,344
Age 40-44,Female,Parkville,2035,361
Age 40-44,Female,Parkville,2037,340
Age 40-44,Male,Parkville,2026,182
Age 40-44,Male,Parkville,2029,232
Age 40-44,Male,Parkville,2033,298
Age 40-44,Male,Parkville,2034,315
Age 40-44,Male,Parkville,2038,321
Age 40-44,Male,Parkville,2039,311
Age 40-44,Male,Parkville,2040,308
Age 45-49,Female,Parkville,2022,101
Age 45-49,Female,Parkville,2025,118
Age 45-49,Female,Parkville,2028,149
Age 45-49,Female,Parkville,2029,163
Age 45-49,Female,Parkville,2034,256
Age 45-49,Female,Parkville,2038,314
Age 45-49,Female,Parkville,2040,354
Age 45-49,Female,Parkville,2041,361
Age 45-49,Male,Parkville,2021,99
Age 45-49,Male,Parkville,2022,107
Age 45-49,Male,Parkville,2024,116
Age 45-49,Male,Parkville,2026,133
Age 45-49,Male,Parkville,2029,171
Age 45-49,Male,Parkville,2030,192
Age 45-49,Male,Parkville,2031,214
Age 45-49,Male,Parkville,2034,266
Age 45-49,Male,Parkville,2037,301
Age 45-49,Male,Parkville,2041,361
Age 50-54,Female,Parkville,2025,146
Age 50-54,Female,Parkville,2026,153
Age 50-54,Female,Parkville,2029,175
Age 50-54,Female,Parkville,2037,317
Age 50-54,Female,Parkville,2038,334
Age 50-54,Female,Parkville,2039,355
Age 50-54,Male,Parkville,2023,118
Age 50-54,Male,Parkville,2029,155
Age 50-54,Male,Parkville,2032,183
Age 50-54,Male,Parkville,2034,213
Age 50-54,Male,Parkville,2040,317
Age 50-54,Male,Parkville,2041,332
Age 55-59,Female,Parkville,2024,105
Age 55-59,Female,Parkville,2025,107
Age 55-59,Female,Parkville,2027,105
Age 55-59,Female,Parkville,2028,105
Age 55-59,Female,Parkville,2030,112
Age 55-59,Female,Parkville,2032,126
Age 55-59,Female,Parkville,2034,131
Age 55-59,Female,Parkville,2035,136
Age 55-59,Female,Parkville,2040,180
Age 55-59,Male,Parkville,2023,100
Age 55-59,Male,Parkville,2027,104
Age 55-59,Male,Parkville,2033,129
Age 55-59,Male,Parkville,2034,131
Age 55-59,Male,Parkville,2035,138
Age 55-59,Male,Parkville,2037,150
Age 55-59,Male,Parkville,2039,171
Age 55-59,Male,Parkville,2041,207
Age 60-64,Female,Parkville,2022,104
Age 60-64,Female,Parkville,2029,102
Age 60-64,Female,Parkville,2030,102
Age 60-64,Female,Parkville,2035,106
Age 60-64,Female,Parkville,2036,108
Age 60-64,Female,Parkville,2038,113
Age 60-64,Female,Parkville,2039,116
Age 60-64,Male,Parkville,2022,114
Age 60-64,Male,Parkville,2023,114
Age 60-64,Male,Parkville,2024,113
Age 60-64,Male,Parkville,2029,114
Age 60-64,Male,Parkville,2030,111
Age 60-64,Male,Parkville,2031,113
Age 60-64,Male,Parkville,2033,118
Age 65-69,Female,Parkville,2027,62
Age 65-69,Female,Parkville,2029,61
Age 65-69,Female,Parkville,2031,63
Age 65-69,Female,Parkville,2037,56
Age 65-69,Female,Parkville,2038,57
Age 65-69,Female,Parkville,2039,57
Age 65-69,Female,Parkville,2041,61
Age 65-69,Male,Parkville,2021,114
Age 65-69,Male,Parkville,2025,117
Age 65-69,Male,Parkville,2028,113
Age 65-69,Male,Parkville,2031,114
Age 65-69,Male,Parkville,2033,108
Age 65-69,Male,Parkville,2034,110
Age 70-74,Female,Parkville,2022,114
Age 70-74,Female,Parkville,2025,119
Age 70-74,Female,Parkville,2028,120
Age 70-74,Female,Parkville,2030,119
Age 70-74,Female,Parkville,2034,116
Age 70-74,Female,Parkville,2036,108
Age 70-74,Female,Parkville,2037,105
Age 70-74,Female,Parkville,2038,102
Age 70-74,Female,Parkville,2039,98
Age 70-74,Male,Parkville,2022,91
Age 70-74,Male,Parkville,2025,93
Age 70-74,Male,Parkville,2026,98
Age 70-74,Male,Parkville,2029,96
Age 70-74,Male,Parkville,2030,99
Age 70-74,Male,Parkville,2031,96
Age 70-74,Male,Parkville,2033,102
Age 70-74,Male,Parkville,2034,100
Age 70-74,Male,Parkville,2035,96
Age 70-74,Male,Parkville,2036,103
Age 70-74,Male,Parkville,2038,100
Age 75-79,Female,Parkville,2022,67
Age 75-79,Female,Parkville,2026,129
Age 75-79,Female,Parkville,2027,124
Age 75-79,Female,Parkville,2040,100
Age 75-79,Male,Parkville,2025,126
Age 75-79,Male,Parkville,2028,146
Age 75-79,Male,Parkville,2037,139
Age 75-79,Male,Parkville,2038,132
Age 75-79,Male,Parkville,2041,128
Age 80-84,Female,Parkville,2021,43
Age 80-84,Female,Parkville,2022,47
Age 80-84,Female,Parkville,2026,59
Age 80-84,Female,Parkville,2028,76
Age 80-84,Female,Parkville,2029,95
Age 80-84,Female,Parkville,2031,122
Age 80-84,Female,Parkville,2034,130
Age 80-84,Female,Parkville,2036,116
Age 80-84,Male,Parkville,2022,30
Age 80-84,Male,Parkville,2029,73
Age 80-84,Male,Parkville,2033,93
Age 80-84,Male,Parkville,2034,87
Age 80-84,Male,Parkville,2035,85
Age 80-84,Male,Parkville,2036,89
Age 80-84,Male,Parkville,2038,87
Age 80-84,Male,Parkville,2039,85
Age 80-84,Male,Parkville,2041,82
Age 85+,Female,Parkville,2024,58
Age 85+,Female,Parkville,2025,63
Age 85+,Female,Parkville,2036,152
Age 85+,Female,Parkville,2038,166
Age 85+,Female,Parkville,2039,171
Age 85+,Female,Parkville,2040,178
Age 85+,Female,Parkville,2041,185
Age 85+,Male,Parkville,2023,26
Age 85+,Male,Parkville,2026,30
Age 85+,Male,Parkville,2027,32
Age 85+,Male,Parkville,2029,36
Age 85+,Male,Parkville,2030,38
Age 85+,Male,Parkville,2031,41
Age 85+,Male,Parkville,2033,54
Age 85+,Male,Parkville,2034,61
Age 85+,Male,Parkville,2037,81
Age 85+,Male,Parkville,2039,87
Age 0-4,Female,Port Melbourne,2024,0
Age 0-4,Female,Port Melbourne,2025,0
Age 0-4,Female,Port Melbourne,2032,38
Age 0-4,Female,Port Melbourne,2036,59
Age 0-4,Female,Port Melbourne,2037,64
Age 0-4,Female,Port Melbourne,2039,80
Age 0-4,Female,Port Melbourne,2040,83
Age 0-4,Female,Port Melbourne,2041,89
Age 0-4,Male,Port Melbourne,2025,0
Age 0-4,Male,Port Melbourne,2030,32
Age 0-4,Male,Port Melbourne,2032,38
Age 5-9,Female,Port Melbourne,2022,0
Age 5-9,Female,Port Melbourne,2030,44
Age 5-9,Female,Port Melbourne,2032,57
Age 5-9,Female,Port Melbourne,2034,73
Age 5-9,Female,Port Melbourne,2038,123
Age 5-9,Male,Port Melbourne,2021,0
Age 5-9,Male,Port Melbourne,2022,0
Age 5-9,Male,Port Melbourne,2028,27
Age 5-9,Male,Port Melbourne,2031,51
Age 5-9,Male,Port Melbourne,2032,56
Age 5-9,Male,Port Melbourne,2035,82
Age 5-9,Male,Port Melbourne,2039,133
Age 5-9,Male,Port Melbourne,2041,148
Age 10-14,Female,Port Melbourne,2021,0
Age 10-14,Female,Port Melbourne,2032,34
Age 10-14,Female,Port Melbourne,2033,43
Age 10-14,Female,Port Melbourne,2035,75
Age 10-14,Male,Port Melbourne,2025,0
Age 10-14,Male,Port Melbourne,2028,18
Age 10-14,Male,Port Melbourne,2033,43
Age 10-14,Male,Port Melbourne,2040,157
Age 10-14,Male,Port Melbourne,2041,174
Age 15-19,Female,Port Melbourne,2021,1
Age 15-19,Female,Port Melbourne,2023,0
Age 15-19,Female,Port Melbourne,2025,1
Age 15-19,Female,Port Melbourne,2031,26
Age 15-19,Female,Port Melbourne,2039,67
Age 15-19,Female,Port Melbourne,2040,73
Age 15-19,Male,Port Melbourne,2024,1
Age 15-19,Male,Port Melbourne,2027,17
Age 15-19,Male,Port Melbourne,2028,20
Age 15-19,Male,Port Melbourne,2030,24
Age 15-19,Male,Port Melbourne,2035,32
Age 15-19,Male,Port Melbourne,2036,37
Age 20-24,Female,Port Melbourne,2022,1
Age 20-24,Female,Port Melbourne,2023,1
Age 20-24,Female,Port Melbourne,2024,1
Age 20-24,Female,Port Melbourne,2033,33
Age 20-24,Female,Port Melbourne,2034,38
Age 20-24,Female,Port Melbourne,2035,41
Age 20-24,Female,Port Melbourne,2038,54
Age 20-24,Male,Port Melbourne,2026,13
Age 20-24,Male,Port Melbourne,2033,34
Age 20-24,Male,Port Melbourne,2036,46
Age 20-24,Male,Port Melbourne,2039,60
Age 20-24,Male,Port Melbourne,2040,62
Age 20-24,Male,Port Melbourne,2041,66
Age 25-29,Female,Port Melbourne,2027,19
Age 25-29,Female,Port Melbourne,2028,24
Age 25-29,Female,Port Melbourne,2029,27
Age 25-29,Female,Port Melbourne,2033,32
Age 25-29,Female,Port Melbourne,2034,38
Age 25-29,Female,Port Melbourne,2036,48
Age 25-29,Female,Port Melbourne,2039,61
Age 25-29,Female,Port Melbourne,2041,65
Age 25-29,Male,Port Melbourne,2022,1
Age 25-29,Male,Port Melbourne,2023,1
Age 25-29,Male,Port Melbourne,2029,26
Age 25-29,Male,Port Melbourne,2034,38
Age 25-29,Male,Port Melbourne,2041,65
Age 30-34,Female,Port Melbourne,2022,0
Age 30-34,Female,Port Melbourne,2023,1
Age 30-34,Female,Port Melbourne,2031,29
Age 30-34,Male,Port Melbourne,2021,0
Age 30-34,Male,Port Melbourne,2022,0
Age 30-34,Male,Port Melbourne,2024,0
Age 30-34,Male,Port Melbourne,2026,12
Age 30-34,Male,Port Melbourne,2034,36
Age 30-34,Male,Port Melbourne,2038,56
Age 30-34,Male,Port Melbourne,2039,62
Age 30-34,Male,Port Melbourne,2040,65
Age 35-39,Female,Port Melbourne,2022,0
Age 35-39,Female,Port Melbourne,2023,0
Age 35-39,Female,Port Melbourne,2025,1
Age 35-39,Female,Port Melbourne,2027,19
Age 35-39,Female,Port Melbourne,2036,56
Age 35-39,Female,Port Melbourne,2041,78
Age 35-39,Male,Port Melbourne,2022,0
Age 35-39,Male,Port Melbourne,2023,0
Age 35-39,Male,Port Melbourne,2024,0
Age 35-39,Male,Port Melbourne,2028,25
Age 35-39,Male,Port Melbourne,2035,48
Age 35-39,Male,Port Melbourne,2037,63
Age 35-39,Male,Port Melbourne,2038,71
Age 35-39,Male,Port Melbourne,2040,77
Age 35-39,Male,Port Melbourne,2041,77
Age 40-44,Female,Port Melbourne,2024,0
Age 40-44,Female,Port Melbourne,2026,13
Age 40-44,Female,Port Melbourne,2027,21
Age 40-44,Female,Port Melbourne,2028,27
Age 40-44,Female,Port Melbourne,2029,33
Age 40-44,Female,Port Melbourne,2041,121
Age 40-44,Male,Port Melbourne,2022,0
Age 40-44,Male,Port Melbourne,2028,27
Age 40-44,Male,Port Melbourne,2031,42
Age 40-44,Male,Port Melbourne,2032,46
Age 40-44,Male,Port Melbourne,2034,62
Age 40-44,Male,Port Melbourne,2036,86
Age 40-44,Male,Port Melbourne,2037,92
Age 40-44,Male,Port Melbourne,2041,122
Age 45-49,Female,Port Melbourne,2022,0
Age 45-49,Female,Port Melbourne,2023,0
Age 45-49,Female,Port Melbourne,2029,31
Age 45-49,Female,Port Melbourne,2030,37
Age 45-49,Female,Port Melbourne,2040,173
Age 45-49,Male,Port Melbourne,2022,0
Age 45-49,Male,Port Melbourne,2028,25
Age 45-49,Male,Port Melbourne,2032,49
Age 45-49,Male,Port Melbourne,2035,78
Age 45-49,Male,Port Melbourne,2037,108
Age 50-54,Female,Port Melbourne,2022,0
Age 50-54,Female,Port Melbourne,2023,0
Age 50-54,Female,Port Melbourne,2029,27
Age 50-54,Female,Port Melbourne,2034,55
Age 50-54,Female,Port Melbourne,2035,67
Age 50-54,Female,Port Melbourne,2036,85
Age 50-54,Female,Port Melbourne,2037,100
Age 50-54,Female,Port Melbourne,2040,157
Age 50-54,Male,Port Melbourne,2022,0
Age 50-54,Male,Port Melbourne,2029,27
Age 50-54,Male,Port Melbourne,2035,66
Age 50-54,Male,Port Melbourne,2036,83
Age 50-54,Male,Port Melbourne,2037,98
Age 55-59,Female,Port Melbourne,2022,0
Age 55-59,Female,Port Melbourne,2024,0
Age 55-59,Female,Port Melbourne,2025,0
Age 55-59,Female,Port Melbourne,2026,11
Age 55-59,Female,Port Melbourne,2027,16
Age 55-59,Female,Port Melbourne,2028,21
Age 55-59,Female,Port Melbourne,2032,33
Age 55-59,Female,Port Melbourne,2034,42
Age 55-59,Female,Port Melbourne,2035,49
Age 55-59,Female,Port Melbourne,2037,69
Age 55-59,Female,Port Melbourne,2038,84
Age 55-59,Female,Port Melbourne,2040,116
Age 55-59,Male,Port Melbourne,2021,0
Age 55-59,Male,Port Melbourne,2023,0
Age 55-59,Male,Port Melbourne,2024,0
Age 55-59,Male,Port Melbourne,2028,21
Age 55-59,Male,Port Melbourne,2029,24
Age 55-59,Male,Port Melbourne,2030,27
Age 55-59,Male,Port Melbourne,2035,50
Age 55-59,Male,Port Melbourne,2036,60
Age 55-59,Male,Port Melbourne,2037,71
Age 60-64,Female,Port Melbourne,2023,0
Age 60-64,Female,Port Melbourne,2025,0
Age 60-64,Female,Port Melbourne,2026,11
Age 60-64,Female,Port Melbourne,2030,25
Age 60-64,Female,Port Melbourne,2031,27
Age 60-64,Female,Port Melbourne,2036,47
Age 60-64,Female,Port Melbourne,2039,70
Age 60-64,Female,Port Melbourne,2040,77
Age 60-64,Male,Port Melbourne,2024,0
Age 60-64,Male,Port Melbourne,2027,16
Age 60-64,Male,Port Melbourne,2028,20
Age 60-64,Male,Port Melbourne,2030,25
Age 60-64,Male,Port Melbourne,2032,28
Age 60-64,Male,Port Melbourne,2033,29
Age 60-64,Male,Port Melbourne,2038,64
Age 60-64,Male,Port Melbourne,2040,80
Age 65-69,Female,Port Melbourne,2021,0
Age 65-69,Female,Port Melbourne,2023,0
Age 65-69,Female,Port Melbourne,2024,0
Age 65-69,Female,Port Melbourne,2025,0
Age 65-69,Female,Port Melbourne,2027,16
Age 65-69,Female,Port Melbourne,2028,19
Age 65-69,Female,Port Melbourne,2034,32
Age 65-69,Female,Port Melbourne,2037,44
Age 65-69,Female,Port Melbourne,2038,51
Age 65-69,Female,Port Melbourne,2041,67
Age 65-69,Male,Port Melbourne,2021,0
Age 65-69,Male,Port Melbourne,2022,0
Age 65-69,Male,Port Melbourne,2024,0
Age 65-69,Male,Port Melbourne,2026,11
Age 65-69,Male,Port Melbourne,2030,23
Age 65-69,Male,Port Melbourne,2034,32
Age 65-69,Male,Port Melbourne,2036,41
Age 65-69,Male,Port Melbourne,2037,44
Age 65-69,Male,Port Melbourne,2038,50
Age 65-69,Male,Port Melbourne,2040,59
Age 65-69,Male,Port Melbourne,2041,66
Age 70-74,Female,Port Melbourne,2022,0
Age 70-74,Female,Port Melbourne,2023,0
Age 70-74,Female,Port Melbourne,2024,0
Age 70-74,Female,Port Melbourne,2027,16
Age 70-74,Female,Port Melbourne,2030,25
Age 70-74,Female,Port Melbourne,2031,27
Age 70-74,Female,Port Melbourne,2034,34
Age 70-74,Female,Port Melbourne,2035,37
Age 70-74,Female,Port Melbourne,2038,51
Age 70-74,Female,Port Melbourne,2039,55
Age 70-74,Male,Port Melbourne,2023,0
Age 70-74,Male,Port Melbourne,2027,16
Age 70-74,Male,Port Melbourne,2031,26
Age 70-74,Male,Port Melbourne,2032,28
Age 70-74,Male,Port Melbourne,2033,28
Age 70-74,Male,Port Melbourne,2035,36
Age 70-74,Male,Port Melbourne,2039,54
Age 70-74,Male,Port Melbourne,2040,56
Age 75-79,Female,Port Melbourne,2023,0
Age 75-79,Female,Port Melbourne,2025,0
Age 75-79,Female,Port Melbourne,2027,21
Age 75-79,Female,Port Melbourne,2031,35
Age 75-79,Female,Port Melbourne,2034,44
Age 75-79,Female,Port Melbourne,2039,65
Age 75-79,Male,Port Melbourne,2021,0
Age 75-79,Male,Port Melbourne,2022,0
Age 75-79,Male,Port Melbourne,2025,0
Age 75-79,Male,Port Melbourne,2032,35
Age 75-79,Male,Port Melbourne,2037,56
Age 75-79,Male,Port Melbourne,2038,60
Age 80-84,Female,Port Melbourne,2025,0
Age 80-84,Female,Port Melbourne,2027,19
Age 80-84,Female,Port Melbourne,2032,60
Age 80-84,Female,Port Melbourne,2040,95
Age 80-84,Male,Port Melbourne,2022,0
Age 80-84,Male,Port Melbourne,2023,0
Age 80-84,Male,Port Melbourne,2024,0
Age 80-84,Male,Port Melbourne,2027,19
Age 80-84,Male,Port Melbourne,2028,26
Age 85+,Female,Port Melbourne,2024,0
Age 85+,Female,Port Melbourne,2028,5
Age 85+,Female,Port Melbourne,2030,7
Age 85+,Female,Port Melbourne,2032,9
Age 85+,Female,Port Melbourne,2034,14
Age 85+,Female,Port Melbourne,2035,17
Age 85+,Female,Port Melbourne,2037,25
Age 85+,Female,Port Melbourne,2040,36
Age 85+,Male,Port Melbourne,2021,0
Age 85+,Male,Port Melbourne,2023,0
Age 85+,Male,Port Melbourne,2024,0
Age 85+,Male,Port Melbourne,2025,0
Age 85+,Male,Port Melbourne,2027,4
Age 85+,Male,Port Melbourne,2029,5
Age 85+,Male,Port Melbourne,2032,9
Age 85+,Male,Port Melbourne,2034,13
Age 0-4,Female,South Yarra,2021,46
Age 0-4,Female,South Yarra,2023,56
Age 0-4,Female,South Yarra,2027,85
Age 0-4,Female,South Yarra,2029,91
Age 0-4,Female,South Yarra,2030,94
Age 0-4,Female,South Yarra,2031,97
Age 0-4,Female,South Yarra,2032,99
Age 0-4,Female,South Yarra,2034,100
Age 0-4,Female,South Yarra,2037,96
Age 0-4,Female,South Yarra,2041,91
Age 0-4,Male,South Yarra,2024,59
Age 0-4,Male,South Yarra,2026,80
Age 0-4,Male,South Yarra,2032,102
Age 0-4,Male,South Yarra,2033,104
Age 0-4,Male,South Yarra,2034,105
Age 0-4,Male,South Yarra,2038,101
Age 5-9,Female,South Yarra,2021,46
Age 5-9,Female,South Yarra,2023,40
Age 5-9,Female,South Yarra,2025,49
Age 5-9,Female,South Yarra,2031,98
Age 5-9,Female,South Yarra,2034,110
Age 5-9,Female,South Yarra,2035,112
